1. Dejan Mijač, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
70. Iva Draškić Vićanović, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
71. Adrijana Marčetić, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
72. Tanja Popović, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
73. Aleksandra V. Jovanović, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
74. Smilja Srdić, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
75. Katarina Rasulić, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
76. Ivana Trbojević Milošević, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
77. Jasmina Moskovljević Popović, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
78. Snežana Kalinić, docent, Filološki fakultet, Univerzitet u Beogradu
79. Nenad Tomović, docent, Filološki fakultet, Univerzitet u Beogradu
80. Aleksandra Vukotić, docent, Filološki fakultet, Univerzitet u Beogradu
81. Ana Đorđević, docent, Filološki fakultet, Univerzitet u Beogradu
82. Nataša Šofranac, docent, Filološki fakultet, Univerzitet u Beogradu
83. Andrej Bjelaković, asistent, Filološki fakultet, Univerzitet u Beogradu
84. Mirna Stevanović, viši lektor, Filološki fakultet, Univerzitet u Beogradu
85. Ružica Ivanović, viši lektor, Filološki fakultet, Univerzitet u Beogradu
86. Nataša Ilić, lektor, Filološki fakultet, Univerzitet u Beogradu
87. Andrijana Aničić, lektor, Filološki fakultet, Univerzitet u Beogradu
88. Milica Vitaz, lektor, Filološki fakultet, Univerzitet u Beogradu
89. Clare Zubac, lektor, Filološki fakultet, Univerzitet u Beogradu
90. Tamara Aralica, lektor, Filološki fakultet, Univerzitet u Beogradu
91. Ana Tomović, lektor, Filološki fakultet, Univerzitet u Beogradu
92. Ksenija Bogetić, lektor, Filološki fakultet, Univerzitet u Beogradu
93. Andrijana Broćić, lektor, Filološki fakultet, Univerzitet u Beogradu
94. Nevena Hadži Jovančić, redovni profesor, Učiteljski fakultet, Univerzitet u Beogradu
95. Maja Gruden-Pavlović, vanredni profesor, Hemijski fakultet, Univerzitet u Beogradu
96. Geroslav Zarić, redovni profesor u penziji, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
97. Vesna Popović, vanredni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
98. Selena Vicković, docent, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
99. Ljiljana Petrović, redovni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
100. Milivoj Miško Pavlović, docent, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
101. Darko Nedeljković, redovni profesor, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
102. Radoslav Milenković, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
103. Ivan Kljajić, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
104. Olivera Gračanin, redovna profesorka, Akademija umetnosti, Univerzitet u Novom Sadu
105. Branislav Micić, nastavnik veština, Akademija umetnosti, Univerzitet u Novom Sadu
106. Tatjana Paunović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
107. Danijela Gavrilović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
108. Dragana Zaharijevski, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
109. Zoran Jovanović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
110. Aleksandra Kostić, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
111. Natalija Jovanović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
112. Branislav Stevanović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
113. Zoran Dimić, vanredni profesor, Filozofski fakultet, Univerzitet u Nišu
114. Irena Ljubomirović, vanredni profesor, Filozofski fakultet, Univerzitet u Nišu
115. Nina Lazarević, docent, Filozofski fakultet, Univerzitet u Nišu
116. Jasmina Šaranac, docent, Filozofski fakultet, Univerzitet u Nišu
117. Maja Veljković, docent, Filozofski fakultet, Univerzitet u Nišu
118. Marija Vujović, docent, Filozofski fakultet, Univerzitet u Nišu
119. Miloš Jovanović, docent, Filozofski fakultet, Univerzitet u Nišu
120. Bojan Blagojević, docent, Filozofski fakultet, Univerzitet u Nišu
121. Nataša Simeunović Bajić, docent, Filozofski fakultet, Univerzitet u Nišu
122. Nermin Vučelj, docent, Filozofski fakultet, Univerzitet u Nišu
123. Ljiljana Marković, viši lektor, Filozofski fakultet, Univerzitet u Nišu
124. Ivan Nikolić, asistent, Filozofski fakultet, Univerzitet u Nišu
125. Milan Jovanović, asistent, Filozofski fakultet, Univerzitet u Nišu
126. Anđelija Milić, asistent, Filozofski fakultet, Univerzitet u Nišu
127. Neven Obradović, asistent, Filozofski fakultet, Univerzitet u Nišu
128. Dušan Aleksić, asistent, Filozofski fakultet, Univerzitet u Nišu
129. Marta Mitrović, asistent, Filozofski fakultet, Univerzitet u Nišu
130. Dušan Milenković, asistent, Filozofski fakultet, Univerzitet u Nišu
131. Ljiljana Skrobić, asistent, Filozofski fakultet, Univerzitet u Nišu
132. Bojana Pucarević, asistent, Filozofski fakultet, Univerzitet u Nišu
133. Nemanja Krstić, demonstrator, Filozofski fakultet, Univerzitet u Nišu
134. Jadranka Mišić Pejović, redovni profesor, Fakultet umetnosti, Univerzitet u Nišu
135. Bratislav Bašić, vanredni profesor, Fakultet umetnosti, Univerzitet u Nišu
136. Vesna Rilak Stanimirović, vanredni profesor, Fakultet umetnosti, Univerzitet u Nišu
137. Predrag Cvetičanin, docent, Fakultet umetnosti, Univerzitet u Nišu
138. Marija Dinov Vasić, asistent, Fakultet umetnosti, Univerzitet u Nišu
139. Tamara Milenković-Kerković, redovni profesor, Ekonomski fakultet, Univerzitet u Nišu
140. Nebojša Stojković, redovni profesor, Ekonomski fakultet, Univerzitet u Nišu
141. Ljubica Nikolić, redovni profesor, Pravni fakultet, Univerzitet u Nišu
142. Ljiljana Mijatović Teodorović, redovni profesor, Fakultet medicinskih nauka, Univerzitet u Kragujevcu
143. Branislav Simonović, redovni profesor, Pravni fakultet, Univerzitet u Kragujevcu
144. Mirjana Mišković-Luković, redovni profesor, Filološko-umetnički fakultet, Univerzitet u Kragujevcu
145. Zoran Paunović, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
146. Ana Altaras-Dimitrijević, vanredni profesor, Filozofski fakultet, Univerzitet u Beogradu
147. Tatjana Stefanović Stanojević, redovni profesor, Filozofski fakultet, Univerziteta u Nišu
148. Milan Okanović, docent, Fakultet organizacionih nauka, Univerzitet u Beogradu
149. Tatjana Rosić Ilić, redovna profesorka, Fakultet za medije i komunikacije, Univerzitet Singidunum
150. Zoran Radovanovic, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
151. Vladimir Nikolić, docent, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
152. Mejsun Garajbe Simonović, docentkinja, Filološki fakultet, Univerzitet u Beogradu
153. Svetozar Saša Kovačević, redovni profesor u penziji, Akademija umetnosti, Univerzitet u Novom Sadu
154. Milan Stojković, docent, Prirodno-matematički fakultet, Univerzitet u Nišu
155. Milica Gligorović, redovni profesor, Fakulteta za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
156. Luka Mijatović, docent, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
157. Sanja Šovran, docent, Biološki fakultet, Univerzitet u Beogradu
158. Đorđe Krivokapić, docent, Fakultet organizacionih nauka, Univerzitet u Beogradu
159. Mina Cvetinović Pavkov, docent, Akademija umetnosti, Univerzitet u Novom Sadu
160. Tanja Rakić, docent, Filološki fakultet, Univerzitet u Beogradu
161. Branka Novčić Korać, docent, Fakultet organizacionih nauka, Univerzitet u Beogradu
162. Aleksandar Novaković, docent, Nova akademija umetnosti
163. Jelena Stanković, vanredni profesor, Ekonomski fakultet, Univerzitet u Nišu
164. Aleksandar S. Petrović, docent, Geografski fakultet, Univerzitet u Beogradu
165. Nikola Bjelić, docent, Filozofski fakultet, Univerzitet u Nišu
166. Miloš Jevtić, docent, Fakultet organizacionih nauka, Univerzitet u Beogradu
167. Strahinja Simonović, asistent, , Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
168. Tijana Mirović, vanredna profesorka, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
169. Jelena Kusovac, docent, Filološki fakultet, Univerzitet u Beogradu
170. Fuada Stankovic, redovni profesor u penziji, Pravni fakultet, Univerzitet u Novom Sadu
171. Ljubiša Dokić, vanredni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
172. Miloš Đajić, samostalni stručni saradnik, Akademija umetnosti, Univerzitet u Novom Sadu
173. Petar Popović, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
174. Dušan Petričić, vanredni profesor u penziji, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
175. Dejan Dimitrijević, docent, Prirodno-matematički fakultet, Univerzitet u Nišu
176. Milan V. Puzić, vanredni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
177. Živan Živković, redovni profesor u penziji, Tehnički fakultet u Boru, Univerzitet u Beogradu
178. Slobodan Stević, vanredni profesor u penziji, Filološki fakultet, Univerzitet u Beogradu
179. Milan Lukić, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
180. Aleksandra Tomić, asistent, Medicinski fakultet, Univerzitet u Beogradu
181. Ada Šoštarić, docent, Filološki fakultet, Univerzitet u Beogradu
182. Biljana Stojković, redovna profesorka, Biološki fakultet, Univerzitet u Beogradu
183. Milovan Šuvakov, viši naučni saradnik, Institut za fiziku u Beogradu, Univerzitet u Beogradu
184. Uroš Zdravković, docent, Pravni fakultet, Univerzitet u Nišu
185. Željko Marković, vanredni profesor, Filozofski fakultet, Univerzitet u Novom Sadu
186. Zoran Trifković, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
187. Ana Kolarić, docent, Filološki fakultet, Univerzitet u Beogradu
188. Duško Radosavljević, redovni profesor, Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
189. Milica Ječmenica Lukić, asistent, Medicinski fakultet, Univerzitet u Beogradu
190. Maja Miličević Petrović, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
191. Aleksandra Joksimović, redovni profesor, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
192. Predrag Perišić, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
193. Nataša Tučev, docent, Filozofski fakultet, Univerzitet u Nišu
194. Ljiljana Petković, redovni profesor, Mašinski fakultet, Univerzitet u Nišu
195. Zoran Mijatovic, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
196. Nataša Crnjanski, docent, Akademija umetnosti, Univerzitet u Novom Sadu
197. Milan Spasojevic, redovni profesor, Ekonomski fakultet, Univerzitet u Nišu
198. Vesna Pilipović, redovni profesor,  Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
199. Nina Turajlić, docent, Fakultet organizacionih nauka, Univerzitet u Beogradu
200. Vladica Cvetković, redovni profesor, Rudarsko-geološki fakultet, Univerzitet u Beogradu
0.   Vladica Cvetković, dopisni član SANU
201. Mihailo Nikolić, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
202. Vojislav Sekerez, vanredni profesor, Ekonomski fakultet, Univerzitet u Beogradu
203. Dušan Dobromirov, vanredni profesor, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
204. Veselinović Janko, redovni profesor, Poljoprivredni fakultet, Univerzitet u Novom Sadu
205. Jasmina Jovanović, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
206. Marko Petković, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
207. Nataša Milivojević, vanredni profesor, Filozofski fakultet, Univerzitet u Novom Sadu
208. Snežana Vučković, docent, Filološki fakultet, Univerzitet u Beogradu
209. Jelena Đorđević, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
210. Aleksandra Anđelković, vanredni profesor, Pedagoški fakultet u Vranju, Univerzitet u Nišu
211. Slobodan Prvanović, naučni savetnik, Institut za fiziku, Univerzitet u Beogradu
212. Aleksandar S. Mojašević, redovni profesor, Pravni fakultet, Univerzitet u Nišu
213. Ivana Lukić, naučni saradnik, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
214. Vera Večanski, docent, Učiteljski fakultet, Univerzitet u Beogradu
215. Slobodan Krčevinac, redovni profesor u penziji, Fakultet organizacionih nauka, Univerzitet u Beogradu
216. Vesna Miletić, vanredni profesor, Stomatološki fakultet, Univerzitet u Beogradu
217. Ivan Obradović, redovni profesor u penziji, Rudarsko-geološki fakultet, Univerzitet u Beogradu
218. Nebojša Maksimović, docent, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
219. Irena Pejić, redovni profesor, Pravni fakultet, Univerzitet u Nišu
220. Dejan Cicmilović, vanredni profesor, Fakultet umetnosti, Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
221. Nevena Mitranić, asistent, Filozofski fakultet, Univerzitet u Beogradu
222. Ana Sentov, docent,  Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
223. Zorana Popović, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
224. Jovan Čudomirović, docent, Filološki fakultet, Univerzitet u Beogradu
225. Maja Šumar Ristović, docent, Hemijski fakultet, Univerzitet u Beogradu
226. Predrag Dilparić, docent, Filološki fakultet, Univerziteta u Beogradu
227. Dejan Joković, viši naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
228. Jovan Krivokapić, docent, Fakultet organizacionih nauka, Univerzitet u Beogradu
229. Marko Đorđević, vanredni profesor, Fakultet pedagoških nauka, Univerzitet u Kragujevcu
230. Dragan Manojlović, redovni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
231. Tijana Prodanović, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
232. Danilo Stojanović, redovni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
233. Goran Brajušković, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
234. Stepan Stepanović, istraživač saradnik, Institut za hemiju, tehnologiju i metalurgiju, Univerziteta u Beogradu
235. Dragoljub B. Đorđević, redovni profesor, Mašinski fakultet, Univerzitet u Nišu
236. Bogdan Đurović, asistent u penziji, Mašinski fakultet, Univerzitet u Nišu
237. Vladan Petrović, nastavnik veština, Mašinski fakultet, Univerzitet u Nišu
238. Miloš Tasić, docent, Mašinski fakultet, Univerzitet u Nišu
239. Željko Donić, asistent, Filološki fakultet, Univerzitet u Beogradu
240. Nenad Stevanović, docent, Fakultet pedagoških nauka, Univerzitet u Kragujevcu
241. Biljana Mišić Ilić, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
242. Tanja Manojlović, redovni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
243. Goran Obradović, redovni profesor, Pravni fakultet, Univerzitet u Nišu
244. Dušan Stamenković, docent, Filozofski fakultet, Univerzitet u Nišu
245. Srbijanka Turajlić, vanredni profesor u penziji, Elektrotehnički fakultet, Univerzitet u Beogradu
246. Suzana Marković Krstić, vanredni profesor, Filozofski fakultet, Univerzitet u Nišu
247. Branislava Stojanović, viši lektor, Filološki fakultet, Univerzitet u Beogradu
248. Miloš Zatkalik, redovni profesor, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
249. Draško Bjelica, vanredni profesor u penziji, Filozofski fakultet, Univerzitet u Nišu
250. Lela Milošević Radulović, vanredni profesor, Filozofski fakultet, Univerzitet u Nišu
251. Milorad Vidović, redovni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
252. Miodrag Gmitrović, redovni profesor u penziji, Elektronski fakultet, Univerzitet u Nišu
253. Milan Petković, asistent, Medicinski fakultet, Univerzitet u Nišu
254. Violeta Dopsaj, redovna profesorka, Farmaceutski fakultet, Univerzitet u Beogradu
255. Marija Pejičić, asistent, Filozofski fakultet, Univerzitet u Nišu
256. Gordana Kaljalović, redovni profesor u penziji, Akademija umetnosti, Univerzitet u Novom Sadu
257. Ljubica Oparnica, vanredni profesor, Pedagoški fakultet u Somboru, Univerzitet u Novom Sadu
258. Biljana Branković, docent, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
259. Aleksandra Nikolajević, asistent, Filozofski fakultet, Univerzitet u Nišu
260. Milan Damnjanović, redovni profesor, Fizički fakultet, Univerzitet u Beogradu
261. Zvonko Rakarić, vanredni profesor, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
262. Vladimir Kekić, redovni profesor u penziji, Biološki fakultet, Univerzitet u Beogradu
263. Duško Latas, docent, Fizički fakultet, Univerzitet u Beogradu
264. Violeta Beširević, redovna profesorka, Pravni fakultet, Univerzitet Union
265. Dubravka Đurić, redovna profesorka, Fakultet za medije i komunikacije, Univerzitet Singidunum
266. Slađana Đurić, redovni profesor, Fakultet bezbednosti, Univerzitet u Beogradu
267. Drago Đurić, redovni profesor, Filozofski fakultet, Univerzitet u Beogradu
268. Oliver Tošković, docent, Filozofski fakultet, Univerzitet u Beogradu
269. Danka Purić, docentkinja, Filozofski fakultet, Univerzitet u Beogradu
270. Ksenija Krstić, vanredni profesor, Filozofski fakultet, Univerzitet u Beogradu
271. Jelena Teodorović, vanredni profesor, Fakultet pedagoških nauka Univerziteta u Kragujevcu, Jagodina
272. Sreten Petrović, redovni profesor u penziji, Filološki fakultet, Univerzitet u Beogradu
273. Marjan Ivković, naučni saradnik, Institut za filozofiju i društvenu teoriju, Univerzitet u Beogradu
274. Miško Šuvaković, redovni profesor, Fakultet za medije i komunikaciju, Univerzitet Singidunum
275. Smiljka Tomanović, redovna profesorka, Filozofski fakultet, Univerzitet u Beogradu
276. Branka Dražić, docent, Farmaceutski fakultet, Univerzitet u Beogradu
277. Marina Videnović, naučni saradnik, Filozofski fakultet, Univerzitet u Beogradu
278. Zoran Milutinović, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
279. Jasna Stojanović, redovna profesorka, Filološki fakultet, Univerzitet u Beogradu
280. Natalija Žunić, docentkinja, Pravni fakultet, Univerzitet u Nišu
281. Mirjana Đurđević, profesorka, Visoka građevinsko-tehnička škola, Beograd
282. Jugoslav Karamarković, redovni profesor, Građevinsko-arhitektonski fakultet, Univerzitet u Nišu
283. Ivana Simonović, docentkinja, Pravni fakultet, Univerzitet u Nišu
284. Andreja Tepavčević, redovna profesorka, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
285. Maja Savić, docent, Filološki fakultet, Univerzitet u Beogradu
286. Radomir Todorović, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
287. Zoran Pavlović, docent, Filozofski fakultet, Univerzitet u Beogradu
288. Branimir Šešelja, redovni profesor u penziji, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
289. Snežana Božić, docent, Filozofski fakultet, Univerzitet u Nišu
290. Branimir Karanović, profesor emeritus, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beograd
291. Selma Đulizarević Karanović, vanredni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
292. Jelena Vidić, saradnica u nastavi, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
293. Sonja Cvetković, vanredni profesor, Fakultet umetnosti, Univerzitet u Nišu
294. Dragan Žunić, redovni profesor u penziji, Fakultet umetnosti, Univerzitet u Nišu
295. Milena Petković, vanredni profesor, Fakultet za fizičku hemiju, Univerzitet u Beogradu
296. Dragana Pavlović, vanredni profesor, Filozofski fakultet, Univerzitet u Nišu
297. Ranko Bocina, redovni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
298. Miodrag Sibinović, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
299. Nenad Stanojević, istraživač-pripravnik, Filozofski fakultet, Univerzitet u Nišu
300. Dima Trajkovic, redovni profesor u penziji, Građevinsko-arhitektonski fakultet, Univerzitet u Nišu
301. Borut Vild, redovni profesor, Fakultet za medije i komunikacije, Univerzitet Singidunum
302. Mirjana Ruml, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
303. Miloš Nenadović, docent, Arhitektonski fakultet, Univerzitet u Beogradu
304. Nikola Božilović, redovni profesor u penziji, Filozofski fakultet, Univerzitet u Nišu
305. Branka Popović, vanredni profesor, Stomatološki fakultet, Univerzitet u Beogradu
306. Marija Marković, docent, Filozofski fakultet, Univerzitet u Nišu
307. Dragan Janković, docent, Filozofski fakultet, Univerzitet u Beogradu
308. Marina Matejević, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
309. Milentije Đorđević, redovni profesor u penziji, Filozofski fakultet, Univerzitet u Nišu
310. Jelisaveta Todorović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
311. Anka Mihajlov, docent, Filozofski fakultet, Univerzitet u Nišu
